,_key,Desc,category,district,latitude,longitude,loc_clusters
0,ansoo lake,"Ansoo Lake is situated in Kaghan Valley of Pakistan. It is located near in the Himalayan range at the altitude of 4,245 meters (13,927 ft). This lake is considered to be one of the most beautiful lakes of the world. The name ""Ansoo"" comes from its tear-like shape. The lake also resembles a human eye with a central ice island resembling the iris and a ridge resembling an eyebrow, which becomes even more prominent when ice melts on the ""eyebrow"" during the summer. The lake is said to have been discovered in 1993 by Pakistan Air Force pilots who were flying low in the area.
(Photo Credit: pakfocus.com )",Lake,Khyber Pakhtunkhwa,34.8141186,73.67642783,0
1,astola island,"Astola Island, also known as Jezira Haft Talar Satadip or 'Island of the Seven Hills', is a small uninhabited Pakistani island in the Arabian Sea approximately 25 km (16 mi) south of the nearest part of the coast and 39 km (24 mi) southeast of the fishing port of Pasni. Astola is Pakistan's largest offshore island at approximately 6.7 km (4.2 mi) long with a maximum width of 2.3 km (1.4 mi) and an area of approximately 6.7 km2 (2.6 sq mi). The highest point is 246 ft (75 m) above sea level. 
 (Photo Credit: Buzzpk )",Island,Balochistan,25.1223206,63.84794782,4
2,attabad lake,"Attabad Lake is a lake in the Gojal Valley of northern Pakistan created in January 2010 by a landslide dam.The lake was formed due to a massive landslide at Attabad village in Gilgit-Baltistan, 9 miles (14 km) upstream (east) of Karimabad that occurred on January 4, 2010.It reached 13 miles (21 km) long and over 100 metres (330 ft) in depth by the first week of June 2010 when it began flowing over the landslide dam, completely submerging lower Shishkat and partly flooding Gulmit .
(Photo Credit: HumansOfHunza | Twitter )",Lake,GilgitâBaltistan,36.3458274,74.86543579,2
3,badshahi mosque,"The Badshahi Mosque is a Mughal-era congregational mosque in Lahore, capital of the Pakistani province of Punjab, Pakistan. The mosque is located west of Lahore Fort along the outskirts of the Walled City of Lahore, and is widely considered to be one of Lahore's most iconic landmarks.",Mosque,Punjab,31.588126,74.30932246,3
4,baltoro glacier,"The Baltoro Glacier, at 63 km (39 mi) in length, is one of the longest glaciers outside the Polar Regions. It is located in Baltistan, in the Gilgit-Baltistan region of Pakistan, and runs through part of the Karakoram mountain range.
 (Photo Credit:aishanoor.deviantart.com )",Mountainous,GilgitâBaltistan,35.7106418,76.55314235,2
5,bhurban,Bhurban is a small town resort and hill station situated between Murree and Kashmir Road in Punjab province of Pakistan. It is just 11 km away from Murree and 68.8 km away from Islamabad. It is one of the best hill stations with a unique variety of species to visit with friends and families.,Hill Station,Punjab,33.9550872,73.4518727,0
6,bruti waterfall islamabad,Bruti waterfall is 3 km from Bari Imam Islamabad and 0.5 hours drive from Islamabad center. It is a 10-foot waterfall and swimming pond that is a very good picnic place for families.,Waterfall,Islamabad,33.7742831,73.1139125,0
7,concordia,"Amongst the tallest 14 mountain peaks of the world that are above 8000 meters, Pakistan proudly bears five. And, of those, four peaks can easily be seen from the Concordia, a camp site at the elevation of 4600 meters. The tallest and most magical of the four is K-2 (8611m), this is the very reason why Concordia has been labeled as ""The Mountaineer's Paradise.  (Photo Credit : FireElf.com )",Mountainous,GilgitâBaltistan,35.7416218,76.5118925,2
8,deosai national park,"Referred to as the âland of giantsâ, this beauty is situated in the Astore District of Gilgit-Baltistan. It is on the boundary of Karakorum and western Himalayas. It is home to various kinds of flowers, countless species of animal, including the brown bear and snow leopard. It is the highest plateau in the world. So if you wish to see wildlife in Pakistan, this place cannot be missed. ( Photo Credit: Kamran Saleem Photography )",National Park,GilgitâBaltistan,34.9565886,75.47983135,2
9,derawar fort,"This is a magnificent structure in the middle of the Cholistan Desert. It is fortress of monumental proportions, Derawarâs 40 stunning bastions rise from the desert in a striking square formation. Combined, the fortâs walls form a circumference of some 1,500m and stand some 30m high.
  (Photo Credit: Sami's Photography | gettyimages )",Fort,Punjab,28.76800705,71.33424735,3
10,dhanni waterfall,"Dhanni waterfall is located in Panjkot village, Muzaffarabad district, of Azad Kashmir, Pakistan. The estimate terrain elevation above sea level is 1517 meters. Area is located at the banks of the Jhelum and the Neelum rivers, and is very hilly. The city of Muzaffarabad serves as capital to Azad Kashmir.(Photo Credit: AMG Prospective )",Waterfall,Azad Kashmir,34.4241,73.6911,0
11,emperor's mosque,"The Emperor's Mosque ( Badshahi Mosque)  in Lahore was commissioned by the sixth Mughal Emperor Aurangzeb. Constructed between 1671 and 1673. It is the second largest mosque in Pakistan and the seventh largest mosque in the world. Aurangzeb's mosque's architectural plan is similar to that of his father, Shah Jehan, the Jama Masjid in Delhi; though it is much larger. The courtyard which spreads over 276,000 square feet, can accommodate one hundred thousand worshippers; ten thousand can be accommodated inside the mosque. The Mosque is one of the most famous Mughal structures.
 (Photo Credit: hello.com.pk )",Mosque,Punjab,31.588126,74.30932246,3
12,fairy meadows,"Fairy Meadows, named by German climbers (German MÃ¤rchenwiese, â³fairy tale meadowsâ³) is grassland near one of the base camp sites of the Nanga Parbat, located in Diamer District, Gilgit-Baltistan. At an altitude of about 3,300 meters above the sea level, it serves as the launching point for trekkers summiting on the Rakhiot face of the Nanga Parbat. 
 (Photo Credit: fairymeadowscottage.com )",National Park,GilgitâBaltistan,35.3872034,74.57892916,2
13,faisal mosque,"The Faisal Mosque is a mosque located in Islamabad, Pakistan. It is the sixth-largest mosque in the world and the largest within South Asia, located on the foothills of Margalla Hills in Pakistan's capital city of Islamabad.",Mosque,Islamabad,33.7297492,73.03736,0
14,farphu waterfall,"Farphu Waterfall in Bagrot Valley of Gilgit Baltistan is probably the most beautiful and tallest / highest waterfall in all of Pakistan at 350 feet. Getting there is the difficult part. You have to drive to Skardu 640 km and 1.5 hours from Islamabad, for 2 hours and finally walk to Farphu Waterfall a total of 10 hours.",Waterfall,GilgitâBaltistan,35.9995,75.9999,2
15,gawadar,"Gwadar is a port city on the southwestern coast of Pakistan's Balochistan province where the Arabian Sea meets the Persian Gulf just outside the Strait of Hormuz near key shipping routes in and out of the Persian Gulf. It is about 700 km from Karachi and 120 km from the Iranian border.
(Photo Credit: defence.pk | by Muhammad Omar )",Coastal,Balochistan,25.154342,62.0499838,4
16,gojal valley,"The Gojal Valley borders China and Afghanistan, with its border meeting the Chinese border at Khunjerab â 15,397 feet above sea level â and remains covered with snow all year long. The Karakoram Highway which connects Pakistan to China also passes through Gojal Valley and enters China at Khunjerab.
(Photo Credit: S.M.Bukhari's Photography )",Valley,GilgitâBaltistan,36.6176353,74.8632045,2
